|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                                   MI-4C -    0 |   51 |   51 |    1 |    3 |   12 |    3 |
|                             192.168.1.1 -    0 |   51 |   51 |    1 |    4 |   12 |    3 |
|                               10.10.1.1 -    0 |   51 |   51 |   20 |   30 |  139 |   22 |
|                           10.168.236.48 -    0 |   51 |   51 |   21 |   30 |  137 |   28 |
|                          10.168.255.145 -    0 |   51 |   51 |   22 |   33 |  137 |   33 |
|               246.57.47.95.in-addr.arpa -    0 |   51 |   51 |   22 |   34 |  142 |   39 |
|              78.228.35.178.in-addr.arpa -    0 |   51 |   51 |   61 |   74 |  181 |   92 |
|                   No response from host -  100 |   11 |    0 |    0 |    0 |    0 |    0 |
|            129.107.249.213.in-addr.arpa -    0 |   51 |   51 |  105 |  120 |  269 |  130 |
|               225.132.69.4.in-addr.arpa -    0 |   51 |   51 |  227 |  247 |  373 |  239 |
|                170.73.68.4.in-addr.arpa -    0 |   51 |   51 |  233 |  247 |  364 |  243 |
|            170.107.180.209.in-addr.arpa -    0 |   51 |   51 |  229 |  244 |  348 |  242 |
|             153.127.119.97.in-addr.arpa -    0 |   51 |   51 |  241 |  256 |  358 |  251 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v0.92 GPL V2 by Appnor MSP - Fully Managed Hosting & Cloud Provider
