173.194.182.19 rr1---sn-n8v7znsy.googlevideo.com
173.194.182.20 rr2---sn-n8v7znsy.googlevideo.com
173.194.182.21 rr3---sn-n8v7znsy.googlevideo.com
173.194.182.22 rr4---sn-n8v7znsy.googlevideo.com
173.194.182.23 rr5---sn-n8v7znsy.googlevideo.com
173.194.182.24 rr6---sn-n8v7znsy.googlevideo.com
173.194.182.25 rr7---sn-n8v7znsy.googlevideo.com
173.194.182.26 rr8---sn-n8v7znsy.googlevideo.com
173.194.182.27 rr9---sn-n8v7znsy.googlevideo.com
173.194.182.28 rr10---sn-n8v7znsy.googlevideo.com
173.194.182.29 rr11---sn-n8v7znsy.googlevideo.com
173.194.182.30 rr12---sn-n8v7znsy.googlevideo.com
173.194.182.31 rr13---sn-n8v7znsy.googlevideo.com
173.194.182.32 rr14---sn-n8v7znsy.googlevideo.com
173.194.182.33 rr15---sn-n8v7znsy.googlevideo.com
173.194.182.34 rr16---sn-n8v7znsy.googlevideo.com
173.194.182.35 rr17---sn-n8v7znsy.googlevideo.com
173.194.182.36 rr18---sn-n8v7znsy.googlevideo.com
74.125.111.209 rr1.sn-n8v7znz7.googlevideo.com
74.125.111.210 rr2.sn-n8v7znz7.googlevideo.com
74.125.111.211 rr3.sn-n8v7znz7.googlevideo.com
74.125.111.212 rr4.sn-n8v7znz7.googlevideo.com
74.125.111.213 rr5.sn-n8v7znz7.googlevideo.com
74.125.111.214 rr6.sn-n8v7znz7.googlevideo.com
74.125.111.215 rr7.sn-n8v7znz7.googlevideo.com
74.125.111.216 rr8.sn-n8v7znz7.googlevideo.com
74.125.111.217 rr9.sn-n8v7znz7.googlevideo.com
74.125.111.218 rr10.sn-n8v7znz7.googlevideo.com
74.125.111.219 rr11.sn-n8v7znz7.googlevideo.com
74.125.111.220 rr12.sn-n8v7znz7.googlevideo.com
74.125.111.221 rr13.sn-n8v7znz7.googlevideo.com
74.125.111.222 rr14.sn-n8v7znz7.googlevideo.com
74.125.111.223 rr15.sn-n8v7znz7.googlevideo.com
74.125.111.224 rr16.sn-n8v7znz7.googlevideo.com
46.61.168.140 rr1.sn-gvnuxaxjvh-nbje.googlevideo.com
46.61.168.141 rr2.sn-gvnuxaxjvh-nbje.googlevideo.com
46.61.168.142 rr3.sn-gvnuxaxjvh-nbje.googlevideo.com
46.61.168.143 rr4.sn-gvnuxaxjvh-nbje.googlevideo.com
46.61.168.144 rr5.sn-gvnuxaxjvh-nbje.googlevideo.com
46.61.168.145 rr6.sn-gvnuxaxjvh-nbje.googlevideo.com
46.61.168.146 rr7.sn-gvnuxaxjvh-nbje.googlevideo.com
46.61.168.147 rr8.sn-gvnuxaxjvh-nbje.googlevideo.com
209.85.165.198 rr1.sn-q4flrnee.googlevideo.com
209.85.165.199 rr2.sn-q4flrnee.googlevideo.com
209.85.165.200 rr3.sn-q4flrnee.googlevideo.com
209.85.165.201 rr4.sn-q4flrnee.googlevideo.com
209.85.165.202 rr5.sn-q4flrnee.googlevideo.com
188.254.91.172 rr1---sn-gvnuxaxjvh-nbjl.googlevideo.com
188.254.91.173 rr2---sn-gvnuxaxjvh-nbjl.googlevideo.com
188.254.91.174 rr3---sn-gvnuxaxjvh-nbjl.googlevideo.com
188.254.91.175 rr4---sn-gvnuxaxjvh-nbjl.googlevideo.com
188.254.91.176 rr5---sn-gvnuxaxjvh-nbjl.googlevideo.com
188.254.91.177 rr6---sn-gvnuxaxjvh-nbjl.googlevideo.com
188.254.91.178 rr7---sn-gvnuxaxjvh-nbjl.googlevideo.com
188.254.91.179 rr8---sn-gvnuxaxjvh-nbjl.googlevideo.com
173.194.163.147 rr1.sn-n8v7kn7e.googlevideo.com
173.194.163.148 rr2.sn-n8v7kn7e.googlevideo.com
173.194.163.149 rr3.sn-n8v7kn7e.googlevideo.com
173.194.163.150 rr4.sn-n8v7kn7e.googlevideo.com
173.194.163.151 rr5.sn-n8v7kn7e.googlevideo.com
173.194.163.152 rr6.sn-n8v7kn7e.googlevideo.com
173.194.163.153 rr7.sn-n8v7kn7e.googlevideo.com
173.194.163.154 rr8.sn-n8v7kn7e.googlevideo.com
173.194.163.155 rr9.sn-n8v7kn7e.googlevideo.com
173.194.163.156 rr10.sn-n8v7kn7e.googlevideo.com
173.194.163.157 rr11.sn-n8v7kn7e.googlevideo.com
173.194.163.158 rr12.sn-n8v7kn7e.googlevideo.com
173.194.163.159 rr13.sn-n8v7kn7e.googlevideo.com
173.194.163.160 rr14.sn-n8v7kn7e.googlevideo.com
173.194.163.161 rr15.sn-n8v7kn7e.googlevideo.com
173.194.163.162 rr16.sn-n8v7kn7e.googlevideo.com
173.194.163.163 rr17.sn-n8v7kn7e.googlevideo.com
173.194.163.164 rr18.sn-n8v7kn7e.googlevideo.com
173.194.163.165 rr19.sn-n8v7kn7e.googlevideo.com
74.125.153.198 rr1.sn-4g5edn6r.googlevideo.com
74.125.153.199 rr2.sn-4g5edn6r.googlevideo.com
74.125.153.200 rr3.sn-4g5edn6r.googlevideo.com
74.125.153.201 rr4.sn-4g5edn6r.googlevideo.com
74.125.153.202 rr5.sn-4g5edn6r.googlevideo.com
