Aug/08/2023 00:02:02 ovpn,info antizapret: initializing...
Aug/08/2023 00:02:02 ovpn,info antizapret: connecting...
Aug/08/2023 00:02:03 ovpn,debug,packet sent P_CONTROL_HARD_RESET_CLIENT_V2 kid=0 sid=6868cf45883c5d56 pid=0 DATA len=0
Aug/08/2023 00:02:03 ovpn,debug,packet sent P_CONTROL kid=0 sid=6868cf45883c5d56 pid=1 DATA len=136
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_CONTROL_HARD_RESET_SERVER_V2 kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] pid=0 DATA len=0
Aug/08/2023 00:02:03 ovpn,debug,packet sent P_ACK kid=0 sid=6868cf45883c5d56 [0 sid=0347bc7f5117aaea] DATA len=0
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
Aug/08/2023 00:02:03 ovpn,debug,packet rcvd P_ACK kid=0 sid=0347bc7f5117aaea [0 sid=6868cf45883c5d56] DATA len=4
