|------------------------------------------------------------------------------------------|
|                                      WinMTR statistics                                   |
|                       Host              -   %  | Sent | Recv | Best | Avrg | Wrst | Last |
|------------------------------------------------|------|------|------|------|------|------|
|                             192.168.0.1 -    0 |   13 |   13 |    0 |    0 |    0 |    0 |
|                            100.89.128.1 -    0 |   13 |   13 |    3 |    3 |    5 |    4 |
|                         217.107.118.173 -    0 |   13 |   13 |    3 |    4 |   14 |    3 |
|                         217.107.118.172 -    0 |   13 |   13 |    3 |    4 |    6 |    4 |
|                         185.140.151.255 -    0 |   13 |   13 |   22 |   23 |   25 |   23 |
|                   No response from host -  100 |    2 |    0 |    0 |    0 |    0 |    0 |
|                           217.161.68.33 -    0 |   13 |   13 |   58 |   60 |   68 |   58 |
|                     ae3-pcr1.fis.cw.net -    0 |   13 |   13 |   59 |   74 |  118 |   60 |
|                   No response from host -  100 |    2 |    0 |    0 |    0 |    0 |    0 |
|   be2960.ccr22.muc03.atlas.cogentco.com -    0 |   13 |   13 |   60 |   61 |   64 |   61 |
|   be3245.agr12.muc03.atlas.cogentco.com -    0 |   13 |   13 |   60 |   60 |   63 |   60 |
|be3237.nr01.b015933-2.muc03.atlas.cogentco.com -    0 |   13 |   13 |   65 |   66 |   69 |   65 |
|                           149.6.156.202 -    0 |   13 |   13 |   64 |   66 |   77 |   64 |
|                   No response from host -  100 |    2 |    0 |    0 |    0 |    0 |    0 |
|                          185.53.176.236 -    0 |   13 |   13 |   60 |   60 |   62 |   61 |
|                           185.53.177.54 -    0 |   13 |   13 |   62 |   63 |   66 |   63 |
|________________________________________________|______|______|______|______|______|______|
   WinMTR v0.92 GPL V2 by Appnor MSP - Fully Managed Hosting & Cloud Provider
